,Bond Nav (Net),Cash for Coupon Payment,Cash for New Issuance,Bond Nav,Bond PnL,Bond Return,Bond Return Cumulative,Hedge Nav,Hedge PnL,Hedge Return,Total Return Daily,Total Return Cumulative,Difference in Return,Same Direction
2019-08-28,18713640.55555555,202625.00000000,14961440.00000000,33877705.55555555,-55756.94444445,-0.00164313,-0.00767261,26194770.98730751,-50054.96319380,-0.00107732,-0.00299539,0.08963509,-0.09730770,1
2019-08-29,18691773.61111111,202625.00000000,14961440.00000000,33855838.61111110,-21866.94444445,-0.00064547,-0.00831313,25992792.28812821,-201978.69917930,-0.00381253,-0.00635581,0.08270958,-0.09102270,1
2019-08-30,18688736.66666667,202625.00000000,14961440.00000000,33852801.66666667,-3036.94444443,-0.00008970,-0.00840208,25996028.72666769,3236.43853948,0.00004905,0.00000570,0.08271575,-0.09111783,0
2019-09-02,18694452.77777778,202625.00000000,14961440.00000000,33858517.77777778,5716.11111110,0.00016885,-0.00823465,25985716.22666769,-10312.50000000,-0.00020625,-0.00013134,0.08257354,-0.09080819,0
2019-09-03,18640985.83333334,202625.00000000,14961440.00000000,33805050.83333334,-53466.94444444,-0.00157913,-0.00980078,26108230.41561311,122514.18894542,0.00237543,0.00197330,0.08470978,-0.09451055,0
2019-09-04,18611208.88888889,202625.00000000,14961440.00000000,33775273.88888889,-29776.94444445,-0.00088084,-0.01067299,26082352.48506754,-25877.93054557,-0.00060522,-0.00158742,0.08298788,-0.09366087,1
2019-09-05,18636401.94444444,202625.00000000,14961440.00000000,33800466.94444445,25193.05555556,0.00074590,-0.00993504,25464895.26575721,-617457.21931033,-0.01127146,-0.01691980,0.06466395,-0.07459899,0
2019-09-06,18647955.00000000,202625.00000000,14961440.00000000,33812020.00000000,11553.05555555,0.00034180,-0.00959664,25594100.74505049,129205.47929328,0.00223281,0.00409040,0.06901885,-0.07861549,1
2019-09-09,18663554.16666667,202625.00000000,14961440.00000000,33827619.16666667,15599.16666667,0.00046135,-0.00913972,25088489.30495835,-505611.44009214,-0.00916562,-0.01418159,0.05385846,-0.06299818,0
2019-09-10,18668677.22222222,202625.00000000,14961440.00000000,33832742.22222222,5123.05555555,0.00015145,-0.00898965,24609665.34515401,-478823.95980434,-0.00881481,-0.01390674,0.03920273,-0.04819238,0
2019-09-11,18687780.27777778,202625.00000000,14961440.00000000,33851845.27777778,19103.05555555,0.00056463,-0.00843010,24523570.89519054,-86094.44996347,-0.00166160,-0.00199444,0.03713010,-0.04556019,0
2019-09-12,18704333.33333334,202625.00000000,14961440.00000000,33868398.33333334,16553.05555556,0.00048899,-0.00794523,24310967.32562447,-212603.56956607,-0.00403603,-0.00584841,0.03106453,-0.03900977,0
2019-09-13,18728916.38888889,202625.00000000,14961440.00000000,33892981.38888889,24583.05555555,0.00072584,-0.00722516,23720180.89533262,-590786.43029186,-0.01118586,-0.01698986,0.01354689,-0.02077205,0
2019-09-16,18758885.55555556,202625.00000000,14961440.00000000,33922950.55555555,29969.16666666,0.00088423,-0.00634732,24029488.33490721,309307.43957459,0.00595447,0.01035651,0.02404369,-0.03039101,1
2019-09-17,18754918.61111111,202625.00000000,14961440.00000000,33918983.61111110,-3966.94444445,-0.00011694,-0.00646352,24184599.93479761,155111.59989040,0.00296781,0.00456644,0.02871993,-0.03518344,0
2019-09-18,18759691.66666667,202625.00000000,14961440.00000000,33923756.66666667,4773.05555557,0.00014072,-0.00632371,24302355.27518202,117755.34038441,0.00223785,0.00368505,0.03251081,-0.03883451,1
2019-09-19,18726374.72222222,202625.00000000,14961440.00000000,33890439.72222222,-33316.94444445,-0.00098211,-0.00729961,24449021.69482115,146666.41963914,0.00284348,0.00339647,0.03601770,-0.04331731,0
2019-09-20,19759597.77777778,202625.00000000,13966640.00000000,33928862.77777778,38423.05555555,0.00113374,-0.00617414,25135629.49519257,686607.80037142,0.01331651,0.02165173,0.05844928,-0.06462342,1
2019-09-23,19734436.94444444,202625.00000000,13966640.00000000,33903701.94444445,-25160.83333333,-0.00074158,-0.00691114,25099394.86468354,-36234.63050903,-0.00071654,-0.00179461,0.05654978,-0.06346092,1
2019-09-24,19747010.00000000,202625.00000000,13966640.00000000,33916275.00000000,12573.05555555,0.00037085,-0.00654286,25471645.62481872,372250.76013517,0.00698250,0.01126874,0.06845576,-0.07499862,1
