,XJIG/ S33 Corp,XJIG/ S32 Corp,XJIG/ S31 Corp,XJIG/ S30 Corp
2019-08-06,,,101.4634636,101.5778772
2019-08-07,,,101.4154968,101.78232740000001
2019-08-08,,,101.4723623,101.8289978
2019-08-09,,,101.49906740000002,101.8159465
2019-08-12,,,101.3977934,101.7423376
2019-08-13,,,101.3711101,101.7175006
2019-08-14,,,101.38882199999999,101.71354720000001
2019-08-15,,,101.3388697,101.7034189
2019-08-16,,,101.42497409999999,101.6983166
2019-08-19,101.549612,,101.527151,101.784769
2019-08-20,101.5667655,,101.56107759999999,101.8281414
2019-08-21,101.5631856,,101.5921665,101.83796290000001
2019-08-22,101.6087896,,101.60287070000001,101.8417501
2019-08-23,101.66434190000001,,101.6255401,101.8737927
2019-08-26,,,101.5632713,101.81227220000001
2019-08-27,101.5534615,,101.5607125,101.8229075
2019-08-28,101.5223464,,101.5287608,101.7885563
2019-08-29,101.5888769,,101.5933896,101.82380529999999
2019-08-30,101.65535009999999,,101.63465179999999,101.8550006
2019-09-02,101.6393401,,101.6297728,101.85973659999999
2019-09-03,101.6344845,,101.63736259999999,101.8636497
2019-09-04,101.7379698,,101.7211756,101.93243149999999
2019-09-05,101.8739922,,101.854354,102.0330479
2019-09-06,101.8941597,,101.8948577,102.0775754
2019-09-09,,,101.91508420000001,102.0941042
2019-09-10,101.923001,,101.91725059999999,102.1000388
2019-09-11,,,101.9237429,102.0994562
2019-09-12,,,101.9835958,102.1352025
2019-09-13,,,102.02483649999999,102.1703774
2019-09-16,,,102.0024371,102.1717904
2019-09-17,,,102.04541090000001,102.1784902
2019-09-18,,,102.0909165,102.2081747
2019-09-19,,,102.1069622,102.2189025
2019-09-20,102.3886354,101.3724265,102.148015,102.2282672
2019-09-23,101.3097944,101.3323928,102.1907983,102.2233595
2019-09-24,,101.2687941,102.1854689,102.2513265
2019-09-25,101.16218909999999,101.1951337,102.13668990000001,102.2985861
2019-09-26,101.1936385,101.17225570000001,102.12217779999999,102.2794197
2019-09-27,101.1596614,101.1592141,102.1103943,102.2827432
2019-09-30,,101.15777779999999,102.10326620000001,102.28135520000001
2019-10-01,,101.1632403,102.1006903,102.2700083
2019-10-02,101.0607395,101.08841059999999,102.0730655,102.2875745
2019-10-03,101.00586340000001,101.0514887,102.0372686,102.2605092
2019-10-04,101.0292193,101.03532940000001,102.0111878,
2019-10-07,,101.0584392,,
2019-10-08,,101.0279647,102.01520529999999,
2019-10-09,101.02630970000001,101.0609444,102.02577420000001,
2019-10-10,,101.062768,102.0056434,
2019-10-11,101.2123017,101.2068569,102.0927711,
2019-10-14,101.25841199999999,101.20518890000001,102.1431377,
2019-10-15,101.2932342,101.2629392,102.16705390000001,
2019-10-16,101.3254194,101.32453170000001,102.199833,
2019-10-17,101.3721673,101.3724141,102.2617869,
2019-10-18,101.4330063,101.4284128,102.30777629999999,
2019-10-21,,101.4560195,102.3085335,
2019-10-22,101.4892093,101.4881245,102.30236540000001,
2019-10-23,101.4743164,101.4882249,102.29578559999999,
2019-10-24,,101.5046768,102.30638520000001,
2019-10-25,101.53773699999999,101.54271899999999,102.339471,
2019-10-28,101.60812750000001,101.5902435,102.3505778,
2019-10-29,101.65669150000001,101.6444295,102.39249659999999,
2019-10-30,,101.6301698,102.3867223,
2019-10-31,101.6233918,101.5977934,102.36445340000002,
2019-11-01,101.6263061,101.6116578,102.3754277,
2019-11-04,101.7044339,101.6981765,102.4157542,
2019-11-05,101.7790508,101.76939959999999,102.49475670000001,
2019-11-06,101.7392898,101.7470532,102.4764667,
2019-11-07,101.77735059999999,101.7706637,102.4807969,
2019-11-08,,101.7854436,102.4733651,
2019-11-11,,101.73175529999999,102.4450693,
2019-11-12,,101.75633140000001,102.44079090000001,
2019-11-13,,101.71050079999999,102.40745390000001,
2019-11-14,101.6609142,101.6621358,102.3674398,
2019-11-15,,101.71351379999999,102.3881295,
2019-11-18,101.7529756,101.7430525,102.406947,
2019-11-19,101.7322593,101.7323082,102.40507290000001,
2019-11-20,101.6706085,101.66753229999999,102.3705201,
2019-11-21,101.6503458,101.643997,102.33445429999999,
2019-11-22,101.637698,101.6314066,102.3295895,
2019-11-25,101.65756490000001,101.66262950000001,102.33967320000001,
2019-11-26,101.67882220000001,101.66421899999999,102.3381036,
2019-11-27,101.7103929,101.70639859999999,102.37035209999999,
2019-11-28,,101.685641,102.2573847,
2019-11-29,,101.7074685,102.3760767,
2019-12-02,,101.7114478,102.37173349999999,
2019-12-03,,101.675487,102.3539879,
2019-12-04,101.6474908,101.6694777,102.3398275,
2019-12-05,101.6871173,101.6730111,102.34858349999999,
2019-12-06,101.7110103,101.7074738,102.3761069,
2019-12-09,,101.7295501,102.3918276,
2019-12-10,,101.73338709999999,102.3940546,
2019-12-11,101.7343782,101.7430208,102.39323990000001,
2019-12-12,101.77595840000001,101.7686121,102.4135565,
2019-12-13,101.8906923,101.85673929999999,102.46168370000001,
2019-12-16,101.9099767,101.9323035,102.53570859999999,
2019-12-17,,101.9974727,102.57003409999999,
2019-12-18,,102.1018208,102.6261977,
2019-12-19,,102.1248905,102.65620600000001,
2019-12-20,,102.1830829,102.4493148,
2019-12-23,,102.2040973,102.70689899999999,
2019-12-24,,102.217145,102.7280677,
2019-12-25,,102.2270714,,
2019-12-26,,102.230063,,
2019-12-27,,102.2175495,102.7189866,
2019-12-30,,102.2125915,102.71518780000001,
2019-12-31,,102.1986104,102.7226975,
2020-01-01,,102.2174535,102.72359920000001,
2020-01-02,,102.21505529999999,102.73726040000001,
2020-01-03,102.1294815,102.1506124,102.7053319,
2020-01-06,102.0126938,102.03301479999999,102.6147022,
2020-01-07,102.09209870000001,102.0838486,102.62932459999999,
2020-01-08,102.0690812,102.08317070000001,102.6374912,
2020-01-09,,102.1209237,102.6571438,
2020-01-10,102.16538919999999,102.1631373,102.66704509999998,
2020-01-13,102.2114572,102.1892393,102.6646796,
2020-01-14,102.2365098,102.2084153,102.67317609999999,
2020-01-15,102.21075019999999,102.2156783,102.6997527,
2020-01-16,102.26587679999999,102.26008309999999,102.6948571,
2020-01-17,,102.3050311,102.7367935,
2020-01-20,102.3176655,102.3134599,102.76097159999999,
2020-01-21,102.2508157,102.2577824,102.7383604,
2020-01-22,102.2401447,102.2474493,102.70042070000001,
2020-01-23,102.1960801,102.1894999,102.6680149,
2020-01-24,102.1756878,102.1672982,102.6471728,
2020-01-27,,102.0014932,,
2020-01-28,,102.06638709999999,,
2020-01-29,102.0938427,102.04467290000001,102.535108,
2020-01-30,,101.97431929999999,102.51145749999999,
2020-01-31,,101.9489206,102.47223559999999,
2020-02-03,,101.9993737,102.4911682,
2020-02-04,102.09351170000001,102.09698259999999,102.53832009999999,
2020-02-05,102.21811540000002,102.2083209,102.5535506,
2020-02-06,,102.212333,102.6000493,
2020-02-07,,102.1867093,102.6125557,
2020-02-10,102.2341673,102.2346892,102.624831,
2020-02-11,,102.2994733,102.66900559999999,
2020-02-12,,102.3723431,102.72180949999999,
2020-02-13,,102.33623670000001,102.7142511,
2020-02-14,102.36172090000001,102.36200550000001,102.72959820000001,
2020-02-17,,102.4232254,102.7607336,
2020-02-18,102.3988982,102.394587,102.7514929,
2020-02-19,,102.44078209999999,102.7792914,
2020-02-20,102.4544245,102.4405402,102.7817002,
2020-02-21,102.39241729999999,102.3968219,102.73639159999999,
2020-02-24,102.2118827,102.2028219,102.690712,
2020-02-25,102.2088842,102.1888358,102.6225025,
2020-02-26,102.0366945,102.10801,102.6177332,
2020-02-27,101.9726694,101.963015,102.4229669,
2020-02-28,,101.3463502,102.0830041,
2020-03-02,101.4618542,101.4949562,101.959233,
2020-03-03,101.6258694,101.5260271,102.0139325,
2020-03-04,101.47471800000001,101.55109870000001,101.99620240000002,
2020-03-05,,101.4504577,102.0190531,
2020-03-06,101.2574819,101.2472652,101.8602581,
2020-03-09,,99.87309724,100.9388638,
2020-03-10,100.41479670000001,100.2361635,100.8811751,
2020-03-11,99.94876049999999,99.94935551,100.9586737,
2020-03-12,98.57579112,98.55795428,100.2730558,
2020-03-13,98.49612434,98.70335312,99.92017417,
2020-03-16,,98.08521998,99.62290945,
2020-03-17,98.29028664,98.12286199,99.48465616,
2020-03-18,97.74578117,97.76550543,99.31022225,
2020-03-19,,97.48409052,99.08931176,
2020-03-20,,98.01900726,,
2020-03-23,,97.5444412,99.5315361,
2020-03-24,96.25124644,97.38467315,99.23765621,
2020-03-25,97.91799666,98.40206492,100.3800153,
2020-03-26,98.45109419,98.99269464,100.8365618,
2020-03-27,98.42648908,99.5879152,100.9500176,
2020-03-30,97.55804422,100.4051702,100.7555743,
2020-03-31,98.04920969,100.3603432,100.8980454,
2020-04-01,97.53719509999999,100.0084059,100.6994211,
2020-04-02,97.56201556,99.99977292,100.66407690000001,
2020-04-03,,99.95916186,100.7652255,
2020-04-06,97.91408021,100.1580013,100.907963,101.18064240000001
2020-04-07,,100.3741543,101.31361190000001,101.2537697
2020-04-08,,100.3783095,101.1748243,101.2772553
2020-04-09,,100.4704563,101.1178173,101.2964801
2020-04-10,,100.68847190000001,101.51751970000001,101.4041969
2020-04-13,,100.7096367,101.4653017,
2020-04-14,,100.89285129999999,101.5421162,101.3631309
2020-04-15,99.08936141,100.77508929999999,101.4338192,101.4889493
2020-04-16,99.02747328,100.79359699999999,101.4492012,101.4979121
2020-04-17,99.29700624,100.8399849,101.40946770000001,101.46257
2020-04-20,99.24325227,100.9446142,101.47536840000001,
2020-04-21,,100.7969184,101.3957792,
2020-04-22,98.80505517,100.49153000000001,101.2712436,
2020-04-23,98.89082457,100.4966071,101.17227679999999,
2020-04-24,98.75754735,100.50935159999999,101.10744140000001,
2020-04-27,98.94088149,100.55743709999999,101.1274327,
2020-04-28,99.03911914,100.56880670000001,101.1431696,
2020-04-29,,100.5975684,,
2020-04-30,,100.77737590000001,101.34976309999999,
2020-05-01,,100.8247436,101.4036252,
2020-05-04,,100.5697936,101.3656921,
2020-05-05,,100.6273946,101.2283758,
2020-05-06,,100.5708286,,
2020-05-07,99.02279553,100.6226157,101.1733818,
2020-05-08,,100.5640907,101.19778740000001,
2020-05-11,99.17502941,100.66306159999999,101.2534328,
2020-05-12,,100.6433958,101.23025729999999,
2020-05-13,,100.5694943,101.1728762,
2020-05-14,,100.4608301,101.09477259999998,
2020-05-15,,100.5041127,101.1429855,
2020-05-18,,100.61202890000001,101.20306070000001,
2020-05-19,99.40601819,100.7051808,101.29190600000001,
2020-05-20,,100.8550962,101.4025635,101.70083029999999
2020-05-21,,100.9397525,101.4737868,101.7565296
2020-05-22,,101.0270344,101.51164250000001,101.78557559999999
2020-05-25,,101.0330694,,
2020-05-26,99.75019609,101.0459911,101.6631993,101.8108416
2020-05-27,99.93900411,101.197192,101.72319909999999,101.8736536
2020-05-28,,101.24045079999999,101.7121941,101.90669129999999
2020-05-29,,101.1663481,101.7114469,101.8997186
2020-06-01,99.95130739,101.17806920000001,101.6723205,101.8885142
2020-06-02,,101.2106892,101.70576729999999,101.9152107
2020-06-03,100.3110423,101.3078963,101.7841061,101.96558470000001
2020-06-04,,101.4468698,101.9221704,102.0640338
2020-06-05,100.60086779999999,101.6376141,102.05790909999999,102.1300889
2020-06-08,100.9304361,101.6742771,102.22409880000001,102.2765403
2020-06-09,100.85633179999999,101.7297822,102.23745759999998,
2020-06-10,100.76148,101.6999816,102.1839987,102.2802557
2020-06-11,100.5567761,101.5399765,102.0601423,102.201902
2020-06-12,100.3613083,101.3999557,101.9282804,102.1831243
2020-06-15,,101.2770234,101.84551579999999,102.078519
2020-06-16,100.735539,101.4244623,102.00268009999999,102.13699749999999
2020-06-17,100.76258390000001,101.6072244,102.1403672,102.256887
2020-06-18,100.7355235,101.59711209999999,102.14153490000001,102.2681209
2020-06-19,,101.5882239,102.13427440000001,102.2708433
2020-06-22,,101.5969414,102.12671390000001,102.25573490000001
2020-06-23,,101.6142443,102.1334144,102.2637671
2020-06-24,100.8074018,101.6344281,102.1234303,102.2607112
2020-06-25,,101.61060129999998,102.1049931,102.2034286
2020-06-26,,101.56284790000001,102.0905421,102.20686090000001
2020-06-29,,101.47797779999999,102.0510025,102.1778015
2020-06-30,,101.55931899999999,102.05331240000001,102.161027
2020-07-01,,101.61188390000001,,
2020-07-02,100.86687380000001,101.6768071,102.1510887,102.24727709999999
2020-07-03,,101.7412192,102.1978375,102.28126740000002
2020-07-06,100.9777646,101.77853929999999,102.22385899999999,102.2875835
2020-07-07,100.9919337,101.7897151,102.255071,102.32180890000001
2020-07-08,100.9296889,101.7858041,,
2020-07-09,,101.7819265,102.2283782,102.32294859999999
2020-07-10,100.88503490000001,101.74854959999999,102.2052857,102.2868791
2020-07-13,100.9711207,101.7310745,102.1990092,102.2808718
2020-07-14,100.9192657,101.75242309999999,102.194381,102.2768922
2020-07-15,,101.795697,102.24308559999999,102.3137872
2020-07-16,101.0059765,101.8194513,102.25887259999999,102.34314870000001
2020-07-17,,101.80315470000001,102.2513498,102.34948709999999
2020-07-20,,101.8281628,102.2598563,102.3500142
2020-07-21,,101.8665063,102.28503509999999,102.37082209999998
2020-07-22,101.14577750000001,101.90741109999999,102.3216405,102.39651070000001
2020-07-23,,101.9293114,102.352595,102.4208561
2020-07-24,101.1864196,101.9319031,102.3633668,102.4259438
2020-07-27,101.1995967,101.8950497,102.3303753,102.3972251
2020-07-28,,101.9188411,102.32890040000001,102.39727090000001
2020-07-29,101.2074495,101.8985095,102.3346562,102.4000259
2020-07-30,101.2599914,101.91821340000001,102.3328765,102.4002617
2020-07-31,101.2930757,101.9436157,102.359639,102.4158966
2020-08-03,,101.974135,102.35061479999999,102.4151375
2020-08-04,,102.0522181,102.4003693,102.44482559999999
2020-08-05,,102.1211667,102.4291317,102.46181700000001
2020-08-06,,102.1545713,102.4500469,102.47533890000001
2020-08-07,,102.13155350000001,102.4686735,102.48937600000001
