Dates,Spreads,Prices
2019/7/24,40.705,102.7723728
2019/7/25,39.822,102.8136027
2019/7/26,40.129,102.7959389
2019/7/29,39.982,102.7973704
2019/7/30,40.552,102.7695543
2019/7/31,40.353,102.7785024
2019/8/1,41.966,102.6988202
2019/8/2,46.151,102.5068372
2019/8/5,54.487,102.1098764
2019/8/6,51.956,102.2358028
2019/8/7,52.568,102.2070689
2019/8/8,50.881,102.2869588
2019/8/9,50.747,102.2910291
2019/8/12,52.962,102.1807211
2019/8/13,53.32,102.1658328
2019/8/14,53.213,102.1659047
2019/8/15,55.622,102.0543487
2019/8/16,51.709,102.2433064
2019/8/19,48.892,102.3718796
2019/8/20,47.31,102.4417483
2019/8/21,46.457,102.484069
2019/8/22,46.217,102.4907995
2019/8/23,47.232,102.4398008
2019/8/26,48.253,102.3923937
2019/8/27,48.081,102.3981386
2019/8/28,48.216,102.3931114
2019/8/29,46.498,102.4736613
2019/8/30,46.183,102.4856621
2019/9/2,46.436,102.4703935
2019/9/3,46.097,102.4851145
2019/9/4,43.015,102.6319327
2019/9/5,41.063,102.7253614
2019/9/6,40.106,102.7622085
2019/9/9,39.669,102.7775873
2019/9/10,39.367,102.7861696
2019/9/11,39.484,102.7737445
2019/9/12,38.509,102.8172093
2019/9/13,37.861,102.8431127
2019/9/16,38.258,102.813051
2019/9/17,38.411,102.8081349
2019/9/18,38.47,102.8057234
2019/9/19,38.487,102.8029949
2019/9/20,44.537,102.7707961
2019/9/23,45.48,102.7211466
2019/9/24,46.659,102.6611055
2019/9/25,48.684,102.5617144
2019/9/26,48.101,102.5852733
2019/9/27,47.279,102.6264291
2019/9/30,47.703,102.601779
2019/10/1,47.501,102.6109324
2019/10/2,48.974,102.5384843
2019/10/3,49.267,102.5257789
2019/10/4,49.022,102.5424272
2019/10/7,48.499,102.5650746
2019/10/8,48.794,102.5455644
2019/10/9,48.172,102.5784877
2019/10/10,47.47,102.6104925
2019/10/11,45.526,102.7024811
2019/10/14,45.014,102.7177093
2019/10/15,43.961,102.769552
2019/10/16,42.862,102.8214777
2019/10/17,41.442,102.8943437
2019/10/18,40.935,102.918161
2019/10/21,40.257,102.9490412
2019/10/22,39.503,102.9825579
2019/10/23,39.864,102.9653812
2019/10/24,39.409,102.9866605
2019/10/25,38.646,103.0242918
2019/10/28,38.425,103.02854
2019/10/29,38.366,103.0273555
2019/10/30,39.91,102.9486159
2019/10/31,39.877,102.9522692
2019/11/1,39.006,103.0015467
2019/11/4,37.92,103.0488048
2019/11/5,36.875,103.0955693
2019/11/6,37.068,103.0807811
2019/11/7,36.492,103.1101974
2019/11/8,36.137,103.1192771
2019/11/11,36.77,103.0819629
2019/11/12,36.7,103.08393
2019/11/13,38.712,102.984013
2019/11/14,39.757,102.9332319
2019/11/15,38.423,103.002533
2019/11/18,38.101,103.0126013
2019/11/19,38.77,102.979966
2019/11/20,40.379,102.8996929
2019/11/21,40.368,102.9018672
2019/11/22,40.138,102.9099306
